id,created_at,did,session_id,category,action,status,message,error,metadata,url,user_agent,platform,app_version
000c2089-bf13-482e-8fdc-298881017b16,2025-12-28 11:14:57.933252+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766920487320-gdfxf89os,network,feed_fetch,start,Fetching global feed,,"{""limit"":50,""source"":""feed_service"",""endpoint"":""global"",""hasCursor"":true}",/user/sugarleaffarm.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
000e03ab-fa39-44e4-ba73-38be03e10216,2025-12-28 11:15:03.014153+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766920487320-gdfxf89os,network,feed_fetch,start,Fetching global feed,,"{""limit"":50,""source"":""feed_service"",""endpoint"":""global"",""hasCursor"":true}",/user/sugarleaffarm.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
00225a2d-8d27-4508-a0a1-0b6d42ca0ceb,2025-12-28 11:14:14.473088+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766920423431-8xliyh6s4,nav,screen_view,info,/user/nome.bsky.social,,,/feed,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
00233ce0-bb70-4ab1-ad60-fbcc3f18a328,2025-12-27 07:26:43.445273+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766818997956-jm9sra6my,nav,app_foreground,info,,,,/feed,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
002701eb-421e-488f-ab4d-9a162601e941,2025-12-27 07:51:34.733953+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766821795212-wrvas9z0y,network,request,success,,,"{""endpoint"":""getAuthorFeed"",""durationMs"":685}",/settings/edit-profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
0042ac0e-e948-41f5-84eb-059593ec8ab8,2025-12-27 07:51:57.451425+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766821795212-wrvas9z0y,push,check_support,info,,,"{""iosPWA"":true,""supported"":true,""permission"":""granted""}",/settings/edit-profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
00493ccf-63c7-4869-b77a-598c65e45128,2025-12-28 11:33:10.904376+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766921411443-6ooljcp0e,render,screen,success,Feed:global,,"{""itemCount"":932,""durationMs"":0}",/user/sugarleaffarm.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
0053ed63-737c-4e05-9f54-825342bd0c45,2025-12-27 07:56:06.340062+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766821795212-wrvas9z0y,render,screen,success,Profile:likes,,"{""itemCount"":97,""durationMs"":0}",/profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
0062c793-a9c6-4928-9973-afda436a5626,2025-12-27 16:34:26.004053+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766853261053-lxqcs949k,network,request,success,,,"{""endpoint"":""getAuthorFeed"",""durationMs"":1777}",/feed,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
007f81c5-5ba4-48b7-b0f2-1c06c8a6975e,2025-12-27 08:48:46.565067+00,did:plc:75x5kjjh32aunyomuh33nuh7,1766825322797-fwsger3jx,network,request,success,,,"{""endpoint"":""getAuthorFeed"",""durationMs"":1047}",/feed,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",ios-pwa,1.0.0
